date	close
15.09.2016	46.42
14.09.2016	45.85
13.09.2016	47.1
12.09.2016	48.32
09.09.2016	48.01
08.09.2016	49.99
07.09.2016	47.98
06.09.2016	47.26
05.09.2016	47.63
02.09.2016	46.83
01.09.2016	45.45
31.08.2016	47.04
30.08.2016	48.37
29.08.2016	49.26
26.08.2016	49.92
25.08.2016	49.67
24.08.2016	49.05
23.08.2016	49.96
22.08.2016	49.16
19.08.2016	50.88
18.08.2016	50.89
17.08.2016	49.85
16.08.2016	49.23
15.08.2016	48.35
12.08.2016	46.97
11.08.2016	46.04
10.08.2016	44.05
09.08.2016	44.98
08.08.2016	45.39
05.08.2016	44.27
04.08.2016	44.29
03.08.2016	43.1
02.08.2016	41.8
01.08.2016	42.14
29.07.2016	42.46
28.07.2016	42.7
27.07.2016	43.47
26.07.2016	44.87
25.07.2016	44.72
22.07.2016	45.69
21.07.2016	46.2
20.07.2016	47.17
19.07.2016	46.66
18.07.2016	46.96
15.07.2016	47.61
14.07.2016	47.37
13.07.2016	46.26
12.07.2016	48.47
11.07.2016	46.25
08.07.2016	46.76
07.07.2016	46.4
06.07.2016	48.8
05.07.2016	47.96
04.07.2016	50.1
01.07.2016	50.35
30.06.2016	49.68
29.06.2016	50.61
28.06.2016	48.58
27.06.2016	47.16
24.06.2016	48.41
23.06.2016	50.91
22.06.2016	49.88
21.06.2016	50.62
20.06.2016	50.65
17.06.2016	49.17
16.06.2016	47.19
15.06.2016	48.97
14.06.2016	49.83
13.06.2016	50.35
10.06.2016	50.54
09.06.2016	51.95
08.06.2016	52.51
07.06.2016	51.44
06.06.2016	50.55
03.06.2016	49.64
02.06.2016	50.04
01.06.2016	49.72
31.05.2016	49.69
30.05.2016	49.76
27.05.2016	49.32
26.05.2016	49.59
25.05.2016	49.74
24.05.2016	48.61
23.05.2016	48.35
20.05.2016	48.72
19.05.2016	48.81
18.05.2016	48.93
17.05.2016	49.28
16.05.2016	48.97
13.05.2016	47.83
12.05.2016	48.08
11.05.2016	47.6
10.05.2016	45.52
09.05.2016	43.63
06.05.2016	45.37
05.05.2016	45.01
04.05.2016	44.62
03.05.2016	44.97
02.05.2016	45.83
29.04.2016	48.13
28.04.2016	48.14
27.04.2016	47.18
26.04.2016	45.74
25.04.2016	44.48
22.04.2016	45.11
21.04.2016	44.53
20.04.2016	45.8
19.04.2016	44.03
18.04.2016	42.91
15.04.2016	43.1
14.04.2016	43.84
13.04.2016	44.18
12.04.2016	44.69
11.04.2016	42.83
08.04.2016	41.94
07.04.2016	39.43
06.04.2016	39.84
05.04.2016	37.87
04.04.2016	37.69
01.04.2016	38.67
31.03.2016	39.6
30.03.2016	39.26
29.03.2016	39.14
28.03.2016	40.27
24.03.2016	40.44
23.03.2016	40.47
22.03.2016	41.79
21.03.2016	41.54
18.03.2016	41.2
17.03.2016	41.54
16.03.2016	40.33
15.03.2016	38.74
14.03.2016	39.53
11.03.2016	40.39
10.03.2016	40.05
09.03.2016	41.07
08.03.2016	39.65
07.03.2016	40.84
04.03.2016	38.72
03.03.2016	37.07
02.03.2016	36.93
01.03.2016	36.81
29.02.2016	35.97
26.02.2016	35.1
25.02.2016	35.29
24.02.2016	34.41
23.02.2016	33.27
22.02.2016	34.69
19.02.2016	33.01
18.02.2016	34.28
17.02.2016	34.5
16.02.2016	32.18
15.02.2016	33.39
12.02.2016	33.36
11.02.2016	30.06
10.02.2016	30.84
09.02.2016	30.32
08.02.2016	32.88
05.02.2016	34.06
04.02.2016	34.46
03.02.2016	35.04
02.02.2016	32.72
01.02.2016	34.24
29.01.2016	34.74
28.01.2016	33.89
27.01.2016	33.1
26.01.2016	31.8
25.01.2016	30.5
22.01.2016	32.18
21.01.2016	29.25
20.01.2016	27.88
19.01.2016	28.76
18.01.2016	28.55
15.01.2016	28.94
14.01.2016	31.03
13.01.2016	30.31
12.01.2016	30.86
11.01.2016	31.55
08.01.2016	33.55
07.01.2016	33.75
06.01.2016	34.23
05.01.2016	36.42
04.01.2016	37.22
31.12.2015	37.28
30.12.2015	36.46
29.12.2015	37.79
28.12.2015	36.62
24.12.2015	37.89
23.12.2015	37.36
22.12.2015	36.11
21.12.2015	36.35
18.12.2015	36.88
17.12.2015	37.06
16.12.2015	37.19
15.12.2015	38.45
14.12.2015	37.92
11.12.2015	37.93
10.12.2015	39.73
09.12.2015	40.11
08.12.2015	40.26
07.12.2015	40.73
04.12.2015	43
03.12.2015	43.84
02.12.2015	42.49
01.12.2015	44.44
30.11.2015	44.61
27.11.2015	44.86
26.11.2015	45.46
25.11.2015	46.17
24.11.2015	46.12
23.11.2015	44.83
20.11.2015	44.66
19.11.2015	44.18
18.11.2015	44.14
17.11.2015	43.57
16.11.2015	44.56
13.11.2015	43.61
12.11.2015	44.06
11.11.2015	45.81
10.11.2015	47.44
09.11.2015	47.19
06.11.2015	47.42
05.11.2015	47.98
04.11.2015	48.58
03.11.2015	50.54
02.11.2015	48.79
30.10.2015	49.56
29.10.2015	48.8
28.10.2015	49.05
27.10.2015	46.81
26.10.2015	47.54
23.10.2015	47.99
22.10.2015	48.08
21.10.2015	47.85
20.10.2015	48.71
19.10.2015	48.61
16.10.2015	50.46
15.10.2015	48.71
14.10.2015	49.15
13.10.2015	49.24
12.10.2015	49.86
09.10.2015	52.65
08.10.2015	53.05
07.10.2015	51.33
06.10.2015	51.92
05.10.2015	49.25
02.10.2015	48.13
01.10.2015	47.69
30.09.2015	48.37
29.09.2015	48.23
28.09.2015	47.34
25.09.2015	48.6
24.09.2015	48.17
23.09.2015	47.75
22.09.2015	49.08
21.09.2015	48.92
18.09.2015	47.47
17.09.2015	49.08
16.09.2015	49.75
15.09.2015	46.63
14.09.2015	46.37
11.09.2015	48.14
10.09.2015	48.89
09.09.2015	47.58
08.09.2015	49.52
07.09.2015	47.63
04.09.2015	49.61
03.09.2015	50.68
02.09.2015	50.5
01.09.2015	49.56
31.08.2015	54.15
28.08.2015	50.05
27.08.2015	47.56
26.08.2015	43.14
25.08.2015	43.21
24.08.2015	42.69
21.08.2015	45.46
20.08.2015	46.62
19.08.2015	47.16
18.08.2015	48.81
17.08.2015	48.74
14.08.2015	49.03
13.08.2015	49.22
12.08.2015	49.66
11.08.2015	49.18
10.08.2015	50.41
07.08.2015	48.61
06.08.2015	49.52
05.08.2015	49.59
04.08.2015	49.99
03.08.2015	49.52
31.07.2015	52.21
30.07.2015	53.31
29.07.2015	53.38
28.07.2015	53.3
27.07.2015	53.47
24.07.2015	54.62
23.07.2015	55.27
22.07.2015	56.13
21.07.2015	57.04
20.07.2015	56.65
17.07.2015	57.1
16.07.2015	57.51
15.07.2015	57.05
14.07.2015	58.51
13.07.2015	57.85
10.07.2015	58.73
09.07.2015	58.61
08.07.2015	57.05
07.07.2015	56.85
